word,length,instance_id,start,end,path
get,3,136,L9,N10,L9 -> M10 -> N10
get,3,145,L10,J10,L10 -> K10 -> J10
get,3,146,L10,M9,L10 -> M10 -> M9
get,3,147,L10,N10,L10 -> M10 -> N10
get,3,148,L10,N10,L10 -> M11 -> N10
get,3,149,L10,N12,L10 -> M11 -> N12
get,3,179,F12,F14,F12 -> G13 -> F14
one,3,45,K3,K4,K3 -> L4 -> K4
one,3,46,K3,M5,K3 -> L4 -> M5
six,3,211,L14,N14,L14 -> M14 -> N14
ten,3,36,C3,A3,C3 -> B3 -> A3
ten,3,37,C3,C5,C3 -> C4 -> C5
ten,3,38,C3,D5,C3 -> C4 -> D5
ten,3,61,B5,A3,B5 -> A4 -> A3
ten,3,62,B5,C5,B5 -> C4 -> C5
ten,3,63,B5,D5,B5 -> C4 -> D5
ten,3,138,M9,N11,M9 -> M10 -> N11
ten,3,150,N10,N11,N10 -> M10 -> N11
ten,3,151,N10,N11,N10 -> M11 -> N11
ten,3,173,C12,A12,C12 -> B13 -> A12
ten,3,174,C12,C14,C12 -> B13 -> C14
ten,3,190,N12,N11,N12 -> M11 -> N11
ten,3,195,C13,A12,C13 -> B13 -> A12
ten,3,196,C13,C14,C13 -> B13 -> C14
ten,3,197,C13,C14,C13 -> D14 -> C14
ten,3,198,C13,E14,C13 -> D14 -> E14
ten,3,204,A14,A12,A14 -> B13 -> A12
ten,3,205,A14,C14,A14 -> B13 -> C14
ten,3,209,F14,H12,F14 -> G13 -> H12
ten,3,210,I14,H12,I14 -> H13 -> H12
the,3,5,I1,I2,I1 -> J1 -> I2
the,3,6,I1,J2,I1 -> J1 -> J2
the,3,18,K2,I2,K2 -> J1 -> I2
the,3,19,K2,J2,K2 -> J1 -> J2
the,3,29,C3,A2,C3 -> B2 -> A2
the,3,34,C3,B3,C3 -> B2 -> B3
the,3,99,G6,I7,G6 -> H6 -> I7
the,3,125,L7,K8,L7 -> L8 -> K8
the,3,126,M7,K8,M7 -> L8 -> K8
the,3,137,M9,K8,M9 -> L8 -> K8
two,3,21,K2,K3,K2 -> L3 -> K3
an,2,10,L1,M2,L1 -> M2
an,2,14,H2,G1,H2 -> G1
an,2,27,N2,M2,N2 -> M2
an,2,56,E4,D5,E4 -> D5
an,2,102,I6,J6,I6 -> J6
an,2,105,K6,L5,K6 -> L5
an,2,107,K6,J6,K6 -> J6
an,2,154,B11,A12,B11 -> A12
an,2,178,E12,E11,E12 -> E11
at,2,9,L1,K2,L1 -> K2
at,2,17,H2,I1,H2 -> I1
at,2,26,N2,N1,N2 -> N1
at,2,109,K6,L7,K6 -> L7
at,2,140,C10,C9,C10 -> C9
at,2,153,B11,A10,B11 -> A10
at,2,155,B11,C12,B11 -> C12
at,2,171,K11,J10,K11 -> J10
by,2,189,L12,M13,L12 -> M13
go,2,22,L2,K3,L2 -> K3
go,2,43,J3,K3,J3 -> K3
go,2,131,I9,I10,I9 -> I10
in,2,3,F1,G1,F1 -> G1
in,2,47,M3,M2,M3 -> M2
in,2,48,M3,L4,M3 -> L4
in,2,73,J5,J6,J5 -> J6
in,2,81,D6,C5,D6 -> C5
in,2,88,D6,D5,D6 -> D5
in,2,89,D6,E6,D6 -> E6
in,2,90,D6,C7,D6 -> C7
in,2,141,E10,E11,E10 -> E11
in,2,158,F11,E11,F11 -> E11
in,2,161,G11,H12,G11 -> H12
in,2,168,J11,I11,J11 -> I11
in,2,181,I12,I11,I12 -> I11
in,2,183,I12,H12,I12 -> H12
in,2,185,J12,I11,J12 -> I11
in,2,191,A13,A12,A13 -> A12
in,2,201,D13,C14,D13 -> C14
in,2,202,D13,E14,D13 -> E14
is,2,0,D1,E2,D1 -> E2
is,2,4,F1,E2,F1 -> E2
is,2,156,C11,B12,C11 -> B12
is,2,184,I12,I13,I12 -> I13
is,2,187,J12,I13,J12 -> I13
is,2,192,A13,B12,A13 -> B12
is,2,212,M14,L14,M14 -> L14
it,2,128,B9,C9,B9 -> C9
it,2,129,B9,A10,B9 -> A10
it,2,130,H9,H10,H9 -> H10
it,2,132,J9,J10,J9 -> J10
it,2,157,C11,C12,C11 -> C12
it,2,159,G11,H10,G11 -> H10
it,2,160,G11,H11,G11 -> H11
it,2,167,J11,J10,J11 -> J10
